filename,BST_sequential_build
decreasing_array_00000004.txt,0.002
decreasing_array_00000008.txt,0.003
decreasing_array_00000016.txt,0.007
decreasing_array_00000032.txt,0.023
decreasing_array_00000064.txt,0.069
decreasing_array_00000128.txt,0.253
decreasing_array_00000256.txt,1.23
decreasing_array_00000512.txt,5.354
