filename,AVL_halfing_build
a_shaped_array_00000004.txt,0.004
a_shaped_array_00000008.txt,0.004
a_shaped_array_00000016.txt,0.007
a_shaped_array_00000032.txt,0.012
a_shaped_array_00000064.txt,0.019
a_shaped_array_00000128.txt,0.039
a_shaped_array_00000256.txt,0.066
a_shaped_array_00000512.txt,0.131
a_shaped_array_00001024.txt,0.236
