filename,AVL_halfing_build
decreasing_array_00000004.txt,0.004
decreasing_array_00000008.txt,0.004
decreasing_array_00000016.txt,0.006
decreasing_array_00000032.txt,0.011
decreasing_array_00000064.txt,0.02
decreasing_array_00000128.txt,0.038
decreasing_array_00000256.txt,0.066
decreasing_array_00000512.txt,0.13
