length,time
4,0.002
8,0.004
16,0.006
32,0.012
64,0.021
128,0.036
256,0.067
512,0.124
1024,0.236
2048,0.546
4096,1.126
8192,2.295
16384,4.754
32768,10.141
65536,21.175
