length,time
4,0.001
8,0.001
16,0.001
32,0.003
64,0.005
128,0.008
256,0.014
512,0.029
1024,0.053
2048,0.112
4096,0.202
8192,0.414
16384,0.852
32768,1.597
65536,3.154
