filename,AVL_inorder_traversal
a_shaped_array_00000004.txt,0.0
a_shaped_array_00000008.txt,0.001
a_shaped_array_00000016.txt,0.002
a_shaped_array_00000032.txt,0.003
a_shaped_array_00000064.txt,0.005
a_shaped_array_00000128.txt,0.008
a_shaped_array_00000256.txt,0.017
a_shaped_array_00000512.txt,0.032
a_shaped_array_00001024.txt,0.058
