length,time
4,0.005
8,0.003
16,0.002
32,0.001
64,0.001
128,0.001
256,0.001
512,0.001
1024,0.001
2048,0.002
4096,0.001
8192,0.004
16384,0.002
32768,0.002
65536,0.002
