length,time
4,0.0
8,0.0
16,0.0
32,0.0
64,0.0
128,0.0
256,0.0
512,0.001
1024,0.001
2048,0.001
4096,0.0
8192,0.002
16384,0.001
32768,0.001
65536,0.002
