length,time
4,0.001
8,0.0
16,0.0
32,0.0
64,0.0
128,0.0
256,0.0
512,0.0
1024,0.0
2048,0.0
4096,0.0
8192,0.001
16384,0.002
32768,0.002
65536,0.003
